date,price_apple,price_amazon,price_netflix,price_google
Jan 2010,7.417,6.372,7.559,14.478
Feb 2010,7.1,5.902,9.062,13.384
Mar 2010,7.978,6.546,10.147,14.039
Apr 2010,8.969,7.053,12.803,13.94
May 2010,8.98,6.38,14.558,12.445
Jun 2010,9.326,6.083,16.665,12.123
Jul 2010,9.105,5.875,16.039,11.836
Aug 2010,8.975,6.318,17.56,11.995
Sep 2010,9.78,7.384,21.354,12.377
Oct 2010,10.747,8.037,22.852,14.412
Nov 2010,11.13,8.427,25.261,15.065
Dec 2010,11.481,8.942,26.444,14.803
Jan 2011,12.085,9.117,27.082,15.401
Feb 2011,12.542,9.056,31.821,15.437
Mar 2011,12.411,8.44,30.755,14.57
Apr 2011,12.156,9.228,34.056,13.878
May 2011,12.205,9.908,34.854,13.247
Jun 2011,11.825,9.583,37.054,12.585
Jul 2011,13.294,10.76,40.293,14.358
Aug 2011,13.456,9.974,33.332,13.69
Sep 2011,14.018,11.161,23.958,13.317
Oct 2011,14.188,11.343,15.272,14.057
Nov 2011,13.744,10.274,11.395,14.876
Dec 2011,14.033,9.196,10.044,15.699
Jan 2012,15.306,9.252,13.964,15.387
Feb 2012,17.769,9.162,17.131,15.173
Mar 2012,20.625,9.476,16.143,15.697
Apr 2012,21.643,9.764,14.412,15.501
May 2012,20.167,11.044,10.426,15.149
Jun 2012,20.52,10.963,9.393,14.28
Jul 2012,21.467,11.202,10.75,14.915
Aug 2012,22.954,11.95,8.677,16.579
Sep 2012,24.341,12.786,8.084,17.975
Oct 2012,22.668,12.215,9.398,18.169
Nov 2012,20.155,11.721,11.435,16.769
Dec 2012,19.002,12.64,12.772,17.6
Jan 2013,17.78,13.421,16.717,18.372
Feb 2013,16.313,13.184,26.064,19.667
Mar 2013,15.781,13.288,26.386,20.47
Apr 2013,14.991,13.154,26.118,19.93
May 2013,15.945,13.137,31.96,21.937
Jun 2013,15.199,13.704,31.276,21.954
Jul 2013,15.327,14.949,35.16,22.558
Aug 2013,17.315,14.558,37.745,21.897
Sep 2013,17.15,15.237,43.353,22.154
Oct 2013,18.027,16.299,45.96,23.49
Nov 2013,18.735,18.243,48.954,25.796
Dec 2013,19.988,19.574,52.58,27.134
Jan 2014,19.194,19.742,51.304,28.435
Feb 2014,18.806,17.717,61.632,29.783
Mar 2014,19.042,18.132,59.266,29.59
Apr 2014,19.324,16.083,48.66,27.328
May 2014,21.542,15.148,51.775,27.149
Jun 2014,22.972,16.229,61.9,28.365
Jul 2014,23.906,16.996,63.203,29.624
Aug 2014,24.609,16.367,65.317,29.168
Sep 2014,25.137,16.517,66.116,29.606
Oct 2014,25.427,15.421,58.925,27.877
Nov 2014,28.322,15.935,53.346,27.626
Dec 2014,28.103,15.439,48.514,26.46
Jan 2015,27.661,15.138,53.409,25.796
Feb 2015,31.357,18.787,66.131,27.048
Mar 2015,31.492,18.767,62.523,28.298
Apr 2015,31.823,19.711,72.261,27.475
May 2015,32.192,21.344,85.201,27.383
Jun 2015,31.952,21.63,93.204,27.539
Jul 2015,31.333,23.936,104.239,30.874
Aug 2015,28.348,25.923,117.503,33.383
Sep 2015,28.2,26.047,100.566,32.39
Oct 2015,28.34,28.338,105.588,34.578
Nov 2015,29.54,32.884,116.069,37.982
Dec 2015,27.933,33.464,121.296,38.552
Jan 2016,24.608,30.053,105.448,36.833
Feb 2016,27.414,51.713,90.208,69.001
Mar 2016,26.067,28.617,99.316,37.339
Apr 2016,26.684,30.68,100.812,37.83
May 2016,23.745,34.874,93.175,36.328
Jun 2016,24.155,35.82,94.299,35.978
Jul 2016,24.64,37.073,93.164,37.053
Aug 2016,26.915,38.242,95.623,40.01
Sep 2016,27.714,39.448,97.449,40.08
Oct 2016,28.928,41.222,113.157,40.682
Nov 2016,27.54,38.167,118.384,39.236
Dec 2016,28.584,38.167,124.007,40.03
Jan 2017,29.893,40.376,134.876,41.512
Feb 2017,33.428,41.787,142.497,41.837
Mar 2017,35.155,42.712,143.227,42.69
Apr 2017,35.722,45.168,145.458,43.069
May 2017,38.057,48.086,158.395,48.081
Jun 2017,36.958,49.523,156.511,48.667
Jul 2017,37.076,50.424,169.446,48.172
Aug 2017,39.756,48.571,172.39,46.897
Sep 2017,39.402,48.45,181.666,47.293
Oct 2017,39.454,50.036,194.278,49.956
Nov 2017,43.1,56.99,195.223,52.349
Dec 2017,42.972,58.442,187.854,52.696
Jan 2018,43.501,65.45,232.908,56.969
Feb 2018,41.91,72.119,271.444,54.594
Mar 2018,43.624,77.018,312.228,54.689
Apr 2018,42.457,73.41,307.466,51.997
May 2018,46.385,79.745,331.537,53.741
Jun 2018,47.156,84.941,384.133,57.466
Jul 2018,47.578,89.232,381.515,60.062
Aug 2018,53.337,94.893,346.258,62.033
Sep 2018,55.518,98.304,362.642,59.252
Oct 2018,55.212,89.104,335.446,56.064
Nov 2018,47.809,81.274,290.345,53.308
Dec 2018,41.066,77.973,265.302,52.404
Jan 2019,38.541,82.002,325.814,54.05
Feb 2019,42.932,81.347,355.608,56.071
Mar 2019,45.824,86.125,359.436,59.216
Apr 2019,50.13,93.309,366.146,61.572
May 2019,47.819,93.469,359.437,57.773
Jun 2019,48.244,92.63,356.616,54.151
Jul 2019,51.305,98.295,350.782,57.649
Aug 2019,51.24,89.683,303.128,59.115
Sep 2019,54.498,89.958,281.946,61.068
Oct 2019,58.822,87.617,277.637,61.622
Nov 2019,65.63,88.715,299.126,65.143
Dec 2019,69.131,89.289,314.604,67.049
Jan 2020,77.979,94.211,338.833,71.809
Feb 2020,77.818,103.308,373.988,73.142
Mar 2020,65.611,93.615,350.587,59.258
Apr 2020,68.096,111.435,404.311,61.505
May 2020,77.496,119.71,433.294,69.068
Jun 2020,86.451,130.676,438.978,71.58
Jul 2020,95.562,152.693,499.385,75.766
Aug 2020,117.301,162.461,498.075,77.251
Sep 2020,115.125,158.038,495.553,75.574
Oct 2020,116.413,161.53,515.142,77.095
Nov 2020,116.826,157.09,487.444,87.169
Dec 2020,126.699,159.519,514.96,88.502
